Organization Name,Post_Money_Valuation_(in B),Lead Investors Include,Country,Continent,Industry
Group14 Technologies,3,Porsche,United States,North America,Financial Services
iCIMS,3,TA Associates,United States,North America,Financial Services
iFIT,3,L Catterton,United States,North America,Healthcare & Life Sciences
Remote,3,SoftBank Vision Fund,United States,North America,Enterprise Tech
Runway,3,General Atlantic,United States,North America,Industrials
Cyera,3,"Accel, Sapphire Ventures",United States,North America,Consumer & Retail
Sword Health,3,Sapphire Ventures,United States,North America,Industrials
Nord Security,3,Warburg Pincus,Lithuania,Europe,Insurance
Clio,3,New Enterprise Associates,Canada,North America,Enterprise Tech
Improbable,3,"Metaverse, MultiversX",United Kingdom,Europe,Financial Services
Lionheart Studio,3,"Kakao Games, Wemade",South Korea,Asia,Financial Services
CMR Surgical,3,"Ally Bridge Group, SoftBank Vision Fund",United Kingdom,Europe,Enterprise Tech
ABB E-Mobility,3,,,,Financial Services
Yipin Fresh,3,"Capital Today, Tencent",China,Asia,Healthcare & Life Sciences
Souche,3,"5Y Capital, Primavera Capital Group",China,Asia,Financial Services
LY.com,3,Overseas Chinese Town Holdings,China,Asia,Enterprise Tech
KoBold Metals,3,"Durable Capital Partners, T. Rowe Price",United States,North America,Consumer & Retail
DuerOS,3,,China,Asia,Enterprise Tech
Terminus Technologies,3,Microware,China,Asia,Healthcare & Life Sciences
Workrise,3,Baillie Gifford,United States,North America,Financial Services
Loft,3,Baillie Gifford,Brazil,South America,Healthcare & Life Sciences
Eswin Materials,3,Phase II Fund,China,Asia,Media & Entertainment
China UnionPay Merchant Services,3,Everbright-IDG Industrial Fund,China,Asia,Industrials
DriveWealth,3,"Accel, Insight Partners",United States,North America,Insurance
BharatPe,3,Tiger Global Management,India,Asia,Enterprise Tech
Motive,3,"Insight Partners, Kleiner Perkins",United States,North America,Enterprise Tech
Transmit Security,3,"General Atlantic, Insight Partners",United States,North America,Financial Services
Sungrow New Energy,3,,China,Asia,Consumer & Retail
Zhipu AI,3,Zhongguancun Science City Science,China,Asia,Enterprise Tech
Crusoe Energy Systems,3,Founders Fund,United States,North America,Financial Services
Physics Wallah,3,Hornbill Capital Advisers,India,Asia,Industrials
One,3,"Ribbit Capital, Walmart",United States,North America,Enterprise Tech
Icertis,3,B Capital,United States,North America,Financial Services
OakNorth,3,SoftBank Vision Fund,United Kingdom,Europe,Consumer & Retail
Infra.Market,3,MARS Unicorn Fund,India,Asia,Consumer & Retail
Groq,3,"Alumni Ventures, BlackRock",United States,North America,Enterprise Tech
Rakuten Securities,3,,Japan,Asia,Enterprise Tech
MUSINSA,3,Kohlberg Kravis Roberts,South Korea,Asia,Enterprise Tech
Traveloka,3,PTT Oil and Retail Business Public Company,Indonesia,Asia,Enterprise Tech
Illumio,3,Thoma Bravo,United States,North America,Financial Services
MasterClass,3,Fidelity,United States,North America,Enterprise Tech
Ualá,3,TelevisaUnivision,Argentina,South America,Enterprise Tech
Abridge,3,"Elad Gil, IVP",United States,North America,Enterprise Tech
Avatr,3,Changan Automobile,China,Asia,Financial Services
Ethos Life,3,SoftBank Vision Fund,United States,North America,Consumer & Retail
Nextiva,3,Goldman Sachs Asset Management,United States,North America,Consumer & Retail
Thought Machine,3,Temasek Holdings,United Kingdom,Europe,Consumer & Retail
HiBob,3,"Alpha Wave Global, Farallon Capital Management",Israel,Asia,Industrials
TravelPerk,3,"Atomico, EQT",Spain,Europe,Industrials
Tenstorrent,3,"AFW Partners, Samsung Securities",Canada,North America,Healthcare & Life Sciences
Tridge,3,DS Asset Management,South Korea,Asia,Enterprise Tech
Figure,3,Intel Capital,United States,North America,Consumer & Retail
Karrot Market,3,DST Global,South Korea,Asia,Enterprise Tech
Backbase,3,Motive Partners,The Netherlands,Europe,Consumer & Retail
Sourcegraph,3,Andreessen Horowitz,United States,North America,Enterprise Tech
Airtel Mobile Commerce BV,3,Mastercard,The Netherlands,Europe,Enterprise Tech
JumpCloud,3,Sapphire Ventures,United States,North America,Consumer & Retail
project44,3,"A.P. Moller Holding, Generation Investment Management",United States,North America,Insurance
Axonius,3,"Accel, Lightspeed Venture Partners",United States,North America,Healthcare & Life Sciences
Clari,3,Blackstone Group,United States,North America,Industrials
Plume Design,3,SoftBank Vision Fund,United States,North America,Insurance
Pendo,3,B Capital,United States,North America,Financial Services
Suning Sports,3,"Alibaba Group, Goldman Sachs",China,Asia,Enterprise Tech
unico IDtech,3,"General Atlantic, SOFTBANK Latin America Ventures",Brazil,South America,Healthcare & Life Sciences
Moglix,3,"Alpha Wave Global, Tiger Global Management",Singapore,Asia,Media & Entertainment
Quantexa,3,Teachers’ Venture Growth,United Kingdom,Europe,Insurance
ManoMano,3,Dragoneer Investment Group,France,Europe,Enterprise Tech
Bending Spoons,3,Durable Capital Partners,Italy,Europe,Enterprise Tech
Fujian Deer Technology,3,National Manufacturing Transformation and Upgrading Fund,China,Asia,Financial Services
Jusda,3,"China Life Insurance, CICC",China,Asia,Enterprise Tech
Chainalysis,3,GIC,United States,North America,Industrials
Side,3,Tiger Global Management,United States,North America,Financial Services
Somatus,3,Wellington Management,United States,North America,Industrials
SiFive,3,Coatue,United States,North America,Financial Services
Games24x7,3,Malabar Investment Advisors,India,Asia,Industrials
Uniphore,3,New Enterprise Associates,United States,North America,Enterprise Tech
Sysdig,3,Permira,United States,North America,Industrials
Fetch,3,Hamilton Lane,United States,North America,Financial Services
Varo Bank,3,Warburg Pincus,United States,North America,Consumer & Retail
Syniverse,3,Twilio,United States,North America,Financial Services
Cambricon Technologies,3,SDIC Venture Capital,China,Asia,Enterprise Tech
VistaJet,3,Rhône Group,United States,North America,Media & Entertainment
BYTON,3,Marubeni,China,Asia,Consumer & Retail
Flow,3,Andreessen Horowitz,United States,North America,Financial Services
Mavenir,3,Siris Capital Group,United States,North America,Financial Services
Jetti Resources,3,BMW i Ventures,United States,North America,Enterprise Tech
Immutable Systems,3,Temasek Holdings,Australia,Oceania,Enterprise Tech
Wormhole,3,,Cayman Islands,North America,Enterprise Tech
Lambda,3,"Alumni Ventures, Andra Capital",United States,North America,Financial Services
MiniMax,3,Alibaba Group,China,Asia,Enterprise Tech
eToro,3,China Minsheng Financial Holdings,Israel,Asia,Enterprise Tech
StackAdapt,3,Teachers’ Venture Growth,Canada,North America,Enterprise Tech
Celestial AI,3,Fidelity,United States,North America,Media & Entertainment
Peregrine Technologies,3,Sequoia Capital,United States,North America,Consumer & Retail
DriveNets,3,D2 Investments,Israel,Asia,Industrials
Autodoc,2,Apollo,Germany,Europe,Enterprise Tech
Vanta,2,Sequoia Capital,United States,North America,Financial Services
Electrify America,2,Siemens Financial Services,United States,North America,Media & Entertainment
DMALL,2,Industrial Bank,China,Asia,Financial Services
Enpal,2,TPG,Germany,Europe,Consumer & Retail
Star Charge,2,Hillhouse Investment,Singapore,Asia,Consumer & Retail
ABL Space Systems,2,T. Rowe Price,United States,North America,Enterprise Tech
HoneyBook,2,Durable Capital Partners,United States,North America,Industrials
Physical Intelligence,2,"Jeff Bezos, Lux Capital",United States,North America,Enterprise Tech
LogicMonitor,2,"Golub Capital, PSG Equity",United States,North America,Healthcare & Life Sciences
Carbon,2,"Baillie Gifford, Madrone Capital Partners",United States,North America,Industrials
Paxos,2,MercadoLibre,United States,North America,Industrials
BitSight,2,Moody's Investors Service,United States,North America,Financial Services
Exabeam,2,Owl Rock Capital,United States,North America,Industrials
Wellhub,2,"EQT Growth, General Atlantic",United States,North America,Financial Services
Accelerant,2,Barings,United Kingdom,Europe,Industrials
Trumid,2,Point Break Capital Management,United States,North America,Consumer & Retail
BrewDog,2,TSG Consumer Partners,United Kingdom,Europe,Enterprise Tech
Yitu Technology,2,Yichang Boyue Investment Management,China,Asia,Enterprise Tech
Go1,2,Insight Partners,Australia,Oceania,Financial Services
Beijing Weilan New Energy Technology,2,Chengtong Mixed Reform,China,Asia,Enterprise Tech
BGL Group,2,CPP Investments,United Kingdom,Europe,Enterprise Tech
Latitude Financial Services,2,,Australia,Oceania,Financial Services
Uptake Technologies,2,Baillie Gifford,United States,North America,Financial Services
Coda,2,"GIC, Insight Partners",Singapore,Asia,Financial Services
Greenlight,2,Andreessen Horowitz,United States,North America,Media & Entertainment
Headway,2,Spark Capital,United States,North America,Financial Services
Mobile Premier League,2,Alameda Research,India,Asia,Media & Entertainment
Liquid AI,2,AMD Ventures,United States,North America,Healthcare & Life Sciences
Story Protocol,2,Andreessen Horowitz,United States,North America,Industrials
Algolia,2,Lone Pine Capital,United States,North America,Industrials
1inch Labs,2,Amber Group,United States,North America,Industrials
UpGrad,2,Temasek Holdings,India,Asia,Enterprise Tech
Qianxun Spatial Intelligence,2,Beijing State-owned Capital Operations and Management,China,Asia,Financial Services
Pattern,2,Knox Lane,United States,North America,Healthcare & Life Sciences
Huimin,2,Jinan Industrial Development Group,China,Asia,Consumer & Retail
Current,2,Andreessen Horowitz,United States,North America,Financial Services
Bitso,2,"Coatue, Tiger Global Management",Mexico,North America,Industrials
Modern Treasury,2,Altimeter Capital,United States,North America,Enterprise Tech
G7,2,"CS Capital, Trustbridge Partners",China,Asia,Enterprise Tech
Bloomreach,2,Goldman Sachs Asset Management,United States,North America,Media & Entertainment
Dialpad,2,ICONIQ Growth,United States,North America,Healthcare & Life Sciences
NuCom Group,2,General Atlantic,Germany,Europe,Healthcare & Life Sciences
Transcarent,2,"7wire Ventures, General Catalyst",United States,North America,Financial Services
Skydio,2,Linse Capital,United States,North America,Healthcare & Life Sciences
Kavak,2,"General Atlantic, SoftBank",Mexico,North America,Financial Services
Turing,2,Khazanah Nasional,United States,North America,Financial Services
Newfront,2,"B Capital, Goldman Sachs Asset Management",United States,North America,Financial Services
Zip,2,Bond,United States,North America,Industrials
Pennylane,2,"CapitalG, Meritech Capital Partners",France,Europe,Enterprise Tech
Market Kurly,2,Anchor Equity Partners,South Korea,Asia,Consumer & Retail
Planet Payment,2,Michael Margolies,Ireland,Europe,Consumer & Retail
Huaqin Communication Technology,2,ZJ Innopark (Zhangjiang Hi-Tech Park),China,Asia,Financial Services
Inari,2,"Alexandria Venture Investments, Flagship Pioneering",United States,North America,Financial Services
Chint Anneng Digital Energy,2,,China,Asia,Consumer & Retail
JD Industry,2,Mubadala,China,Asia,Consumer & Retail
CloudWalk,2,Coatue,Brazil,South America,Consumer & Retail
CoinDCX,2,"Pantera Capital, Steadview Capital",India,Asia,Healthcare & Life Sciences
Rimac Group,2,"Goldman Sachs, SoftBank Vision Fund",Croatia,Europe,Enterprise Tech
ABLY Corporation,2,Alibaba Group,South Korea,Asia,Enterprise Tech
Synthesia,2,Adobe Ventures,United Kingdom,Europe,Enterprise Tech
bolttech,2,Dragon Fund,Singapore,Asia,Healthcare & Life Sciences
2TM,2,MercadoLibre,Brazil,South America,Healthcare & Life Sciences
Docker,2,Bain Capital Ventures,United States,North America,Industrials
Jeeves Inc.,2,Tencent,United States,North America,Industrials
Forto,2,Disruptive,Germany,Europe,Financial Services
Recharge,2,Summit Partners,United States,North America,Financial Services
Medable,2,"Blackstone Accelerates Growth, GSR Ventures",United States,North America,Healthcare & Life Sciences
GoCardless,2,Permira,United Kingdom,Europe,Enterprise Tech
Urban Company,2,"Dragoneer Investment Group, Prosus Ventures",India,Asia,Financial Services
Eightfold AI,2,SoftBank Vision Fund,United States,North America,Industrials
Engine,2,Permira,United States,North America,Enterprise Tech
Taobao Movie,2,"Ant Group, CDH Investments",China,Asia,Enterprise Tech
Kong,2,"Balderton Capital, Tiger Global Management",United States,North America,Enterprise Tech
Biren Technology,2,"C Ventures, Country Garden",China,Asia,Industrials
Runpeng Semiconductor,2,China Resources Microelectronics,China,Asia,Enterprise Tech
PayFit,2,General Atlantic,France,Europe,Financial Services
Tianbing Technology,2,CITIC Construction Investment,China,Asia,Enterprise Tech
Voodoo,2,Groupe Bruxelles Lambert,France,Europe,Healthcare & Life Sciences
ZigBang,2,Shinhan Venture Investment,South Korea,Asia,Enterprise Tech
Flash Express,2,Buer Capital,Thailand,Asia,Financial Services
Kunlun Core,2,Beijing Artificial Intelligence Industry Investment Fund,China,Asia,Enterprise Tech
Kry,2,"CPP Investments, Fidelity",Sweden,Europe,Consumer & Retail
Zilch,2,eBay Ventures,United Kingdom,Europe,Enterprise Tech
Kunlun,2,CPE,China,Asia,Financial Services
Salsify,2,TPG,United States,North America,Enterprise Tech
Babel Finance,2,"10T Holdings, Jeneration Capital",Hong Kong,Asia,Enterprise Tech
ROX Motor,2,Shandong Weiqiao Pioneering Group,China,Asia,Enterprise Tech
Clear Street,2,Prysm Capital,United States,North America,Enterprise Tech
Copper,2,Alan Howard,United Kingdom,Europe,Industrials
21.co,2,Marshall Wace,Switzerland,Europe,Enterprise Tech
Mysten Labs,2,FTX Ventures,United States,North America,Enterprise Tech
DeepL,2,Index Ventures,Germany,Europe,Enterprise Tech
ShiftKey,2,Lorient Capital,United States,North America,Insurance
Xpansiv,2,"Bank of America, Goldman Sachs",United States,North America,Enterprise Tech
Polygon,2,Mark Cuban,India,Asia,Healthcare & Life Sciences
Pipe,2,Greenspring Associates,United States,North America,Enterprise Tech
Mural,2,"Insight Partners, Tiger Global Management",United States,North America,Industrials
CertiK,2,"SoftBank Vision Fund, Tiger Global Management",United States,North America,Financial Services
Pantheon,2,SoftBank Vision Fund,United States,North America,Enterprise Tech
Hive,2,Glynn Capital Management,United States,North America,Enterprise Tech
Redis,2,Tiger Global Management,United States,North America,Financial Services
Iterable,2,Viking Global Investors,United States,North America,Financial Services
Everlaw,2,TPG Growth,United States,North America,Consumer & Retail
Unqork,2,BlackRock,United States,North America,Financial Services
Druva,2,Caisse de Depot et Placement du Quebec,United States,North America,Financial Services
Aviatrix,2,TCV,United States,North America,Media & Entertainment
Clip,2,Morgan Stanley Tactical Value,Mexico,North America,Enterprise Tech
Kajabi,2,Tiger Global Management,United States,North America,Industrials
Cloudinary,2,,United States,North America,Consumer & Retail
Netlify,2,Bessemer Venture Partners,United States,North America,Industrials
OPay,2,SoftBank Vision Fund,Nigeria,Africa,Industrials
Misfits Market,2,SoftBank Vision Fund,United States,North America,Consumer & Retail
Claroty,2,Delta-v Capital,United States,North America,Financial Services
Apeel Sciences,2,Temasek Holdings,United States,North America,Enterprise Tech
Formlabs,2,SoftBank Vision Fund,United States,North America,Enterprise Tech
LTK,2,SoftBank Vision Fund,United States,North America,Enterprise Tech
BlaBlaCar,2,IFC,France,Europe,Consumer & Retail
Pivot Bio,2,"DCVC, Temasek Holdings",United States,North America,Consumer & Retail
Viva Wallet,2,JP Morgan,Greece,Europe,Media & Entertainment
Advance Intelligence Group,2,"Northstar Group, Warburg Pincus",Singapore,Asia,Industrials
XINGYUN GROUP,2,"Crescent Point, Harvest Global Investments",China,Asia,Financial Services
Mafengwo,2,Guizhou Innovation Empowerment Big Data Investment Fund,China,Asia,Media & Entertainment
Magic Leap,2,NTT DoCoMo,United States,North America,Industrials
OCSiAl Group,2,Da Vinci Capital,Luxembourg,Europe,Enterprise Tech
Aleph Holding,2,Snap,United States,North America,Enterprise Tech
ManyPets,2,EQT,United Kingdom,Europe,Media & Entertainment
Dremio,2,Adams Street Partners,United States,North America,Industrials
4Paradigm,2,"Boyu Capital, HOPU Investment Management Company",China,Asia,Enterprise Tech
InMobi,2,Lightbox,India,Asia,Financial Services
ClickHouse,2,Thrive Capital,United States,North America,Enterprise Tech
AppsFlyer,2,Salesforce Ventures,United States,North America,Healthcare & Life Sciences
Saks.com,2,STORY3 Capital Partners,United States,North America,Consumer & Retail
Calm,2,Lightspeed Venture Partners,United States,North America,Consumer & Retail
Momo,2,Mizuho Bank,Vietnam,Asia,Enterprise Tech
Guoquan Shihui,2,"CMB International Capital Corporation, Tiantu Capital",China,Asia,Consumer & Retail
To8to,2,HSG,China,Asia,Consumer & Retail
Tradeshift,2,HSBC,United States,North America,Consumer & Retail
Keep,2,SoftBank Vision Fund,China,Asia,Consumer & Retail
Virta Health,2,Tiger Global Management,United States,North America,Insurance
Naixuecha,2,PAG,China,Asia,Healthcare & Life Sciences
Firstp2p,2,CCB International,China,Asia,Healthcare & Life Sciences
ISN Software Corporation,2,Blackstone Group,United States,North America,Consumer & Retail
Trendy International Group,2,L Catterton Asia,China,Asia,Healthcare & Life Sciences
Acorns,2,TPG,United States,North America,Industrials
Solugen,2,"Kinnevik, Lowercarbon Capital",United States,North America,Financial Services
Zeta,2,Optum,United States,North America,Financial Services
Moloco,2,Premier Partners,United States,North America,Financial Services
Persona,2,"Founders Fund, Ribbit Capital",United States,North America,Enterprise Tech
Devo,2,Eurazeo,United States,North America,Industrials
Marshmallow,2,Portage Ventures,United Kingdom,Europe,Enterprise Tech
Neo4j,2,Noteus Partners,United States,North America,Enterprise Tech
Trax,2,"BlackRock, SoftBank Vision Fund",Singapore,Asia,Consumer & Retail
SmartNews,2,"Asian Capital Alliance, Japan Post Capital",Japan,Asia,Enterprise Tech
Locus Robotics,2,"G2 Venture Partners, Goldman Sachs Asset Management",United States,North America,Financial Services
Verbit,2,Third Point Ventures,United States,North America,Financial Services
Loggi,2,CapSur Capital,Brazil,South America,Media & Entertainment
Farfetch China,2,"Alibaba Group, Richemont",China,Asia,Enterprise Tech
The Bot Company,2,Greenoaks,United States,North America,Enterprise Tech
Mercor,2,Felicis,United States,North America,Financial Services
BlinkRx,2,1789 Capital,United States,North America,Enterprise Tech
Supabase,2,Accel,United States,North America,Financial Services
Chaos,2,New Enterprise Associates,United States,North America,Financial Services
Melio,2,Fiserv,United States,North America,Enterprise Tech
Sila,2,"Sutter Hill Ventures, T. Rowe Price",United States,North America,Healthcare & Life Sciences
Insider,2,General Atlantic,Singapore,Asia,Consumer & Retail
Firefly Aerospace,2,RPM Ventures,United States,North America,Enterprise Tech
Axiom Space,2,"1789 Capital, Type One Ventures",United States,North America,Enterprise Tech
Drata,2,"ICONIQ Growth, Notable Capital",United States,North America,Industrials
GetYourGuide,2,Blue Pool Capital,Germany,Europe,Enterprise Tech
Lessen,2,Legacy Knight,United States,North America,Enterprise Tech
Geek+,2,CPE,China,Asia,Industrials
ICON,2,"Norwest Venture Partners, Tiger Global Management",United States,North America,Consumer & Retail
Preferred Networks,2,SBI Group,Japan,Asia,Enterprise Tech
Lunar,2,Heartland,Denmark,Europe,Consumer & Retail
Clearco,2,"Founders Circle Capital, Inovia Capital",Canada,North America,Financial Services
TIER Mobility,2,SoftBank Vision Fund,Germany,Europe,Enterprise Tech
Exotec,2,Goldman Sachs Asset Management,France,Europe,Consumer & Retail
Ankorstore,2,Bond,France,Europe,Consumer & Retail
Avant,2,Ares Management,United States,North America,Financial Services
Sky Mavis,2,Binance,Vietnam,Asia,Industrials
JOLED,2,CSOT,Japan,Asia,Enterprise Tech
Vital Thin Film Materials,2,CICC,China,Asia,Consumer & Retail
Roofstock,2,SoftBank Vision Fund,United States,North America,Financial Services
YinLong Group,2,,China,Asia,Industrials
SemiDrive,2,Shang Qi Capital,China,Asia,Enterprise Tech
Tianyu Semiconductor,2,,China,Asia,Financial Services
commercetools,2,Accel,Germany,Europe,Healthcare & Life Sciences
ConcertAI,2,Sixth Street,United States,North America,Industrials
CoinSwitch,2,"Andreessen Horowitz, Coinbase Ventures",India,Asia,Financial Services
MX Technologies,2,TPG,United States,North America,Media & Entertainment
Altruist,2,GIC,United States,North America,Consumer & Retail
Material Bank,2,Brookfield Growth,United States,North America,Industrials
JIANGXIAOBAI,2,China Renaissance,China,Asia,Industrials
Writer,2,"ICONIQ Growth, Premji Invest",United States,North America,Consumer & Retail
DFINITY,2,"Andreessen Horowitz, Polychain",Switzerland,Europe,Financial Services
Zhenkunxing,2,YF Capital,China,Asia,Enterprise Tech
Volocopter,2,NEOM,Germany,Europe,Industrials
SFCC,2,,China,Asia,Enterprise Tech
MegazoneCloud,2,"IMM Private Equity, MBK Partners",South Korea,Asia,Healthcare & Life Sciences
Ninja Van,2,Alibaba Group,Singapore,Asia,Healthcare & Life Sciences
Olipop,2,J.P. Morgan Growth Equity Partners,United States,North America,Enterprise Tech
bunq,2,Pollen Street Capital,The Netherlands,Europe,Enterprise Tech
DailyPay,2,Carrick Capital Partners,United States,North America,Financial Services
Sineva,2,Peakview Capital,China,Asia,Industrials
Kindbody,2,Morgan Health,United States,North America,Media & Entertainment
Fever,2,Goldman Sachs,United States,North America,Consumer & Retail
Scroll.io,2,Qiming Venture Partners,Seychelles,Africa,Healthcare & Life Sciences
Diamond Foundry,2,,United States,North America,Consumer & Retail
SJ Semi,2,Walden International,China,Asia,Financial Services
Udaan,2,M&G Plc,India,Asia,Enterprise Tech
Neko Health,2,Lightspeed Venture Partners,Sweden,Europe,Consumer & Retail
Orca Security,2,Temasek Holdings,United States,North America,Enterprise Tech
Watershed,2,Greenoaks,United States,North America,Financial Services
Lightricks,2,"Hanaco Venture Capital, Insight Partners",Israel,Asia,Enterprise Tech
Zocdoc,2,Francisco Partners,United States,North America,Enterprise Tech
FullStory,2,Permira,United States,North America,Consumer & Retail
Opentrons,2,SoftBank Vision Fund,United States,North America,Financial Services
Quest Global,2,The Carlyle Group,Singapore,Asia,Media & Entertainment
Glossier,2,Lone Pine Capital,United States,North America,Industrials
Landa Digital Printing,2,Altana,Israel,Asia,Consumer & Retail
Meril Life,2,Warburg Pincus,India,Asia,Consumer & Retail
Gousto,2,SoftBank Vision Fund,United Kingdom,Europe,Enterprise Tech
Spinny,2,Accel,India,Asia,Media & Entertainment
Kaseya,2,TPG,Ireland,Europe,Consumer & Retail
Trulioo,2,TCV,Canada,North America,Consumer & Retail
Akulaku Group,2,Mitsubishi UFJ Financial Group,Indonesia,Asia,Enterprise Tech
BitGo,2,Brink’s,United States,North America,Financial Services
NantOmics,2,NantHealth,United States,North America,Industrials
ID.me,2,Viking Global Investors,United States,North America,Healthcare & Life Sciences
Productboard,2,"Dragoneer Investment Group, Tiger Global Management",United States,North America,Consumer & Retail
Temporal Technologies,2,Tiger Global Management,United States,North America,Enterprise Tech
Maropost,2,,Canada,North America,Financial Services
Multiverse,2,"General Catalyst, Lightspeed Venture Partners",United Kingdom,Europe,Consumer & Retail
Front,2,"Battery Ventures, Salesforce Ventures",United States,North America,Enterprise Tech
Redesign Health,2,General Catalyst,United States,North America,Enterprise Tech
Micro Connect,2,Jane Street Capital,,,Enterprise Tech
Glance,2,Reliance Jio,Singapore,Asia,Financial Services
CircleCI,2,Greenspring Associates,United States,North America,Enterprise Tech
Pax8,2,SoftBank Vision Fund,United States,North America,Enterprise Tech
H2O.ai,2,Commonwealth Bank of Australia,United States,North America,Enterprise Tech
ZenBusiness,2,Oak HC/FT,United States,North America,Media & Entertainment
Spotter,2,SoftBank Vision Fund,United States,North America,Healthcare & Life Sciences
DispatchHealth,2,Optum Ventures,United States,North America,Consumer & Retail
Harry's,2,STORY3 Capital Partners,United States,North America,Financial Services
Reltio,2,Brighton Park Capital,United States,North America,Enterprise Tech
PAX Labs,2,"Tao Capital Partners, Tiger Global Management",United States,North America,Media & Entertainment
Carsome,2,"65 Equity Partners, Qatar Investment Authority",Malaysia,Asia,Consumer & Retail
Dragos,2,WestCap,United States,North America,Consumer & Retail
HomeLight,2,Zeev Ventures,United States,North America,Industrials
Wave Mobile Money,2,Alameda Research,Senegal,Africa,Consumer & Retail
Alation,2,NTT DOCOMO Ventures,United States,North America,Industrials
VTS,2,Brookfield Growth,United States,North America,Industrials
Maven Clinic,2,StepStone Group,United States,North America,Financial Services
Razor Group,2,Presight Capital,Germany,Europe,Media & Entertainment
Vestiaire Collective,2,"Generation Investment Management, SoftBank Vision Fund",France,Europe,Industrials
Tessera Therapeutics,2,Bill & Melinda Gates Foundation,United States,North America,Media & Entertainment
Enflame,2,"China Fintech Fund, Shanghai GuoHe Capital",China,Asia,Consumer & Retail
DealShare,2,"Alpha Wave Global, Tiger Global Management",India,Asia,Enterprise Tech
SafetyCulture,2,Airtree Ventures,Australia,Oceania,Healthcare & Life Sciences
Kredivo Group,2,Mizuho Bank,Indonesia,Asia,Enterprise Tech
Incredible Health,2,Base10 Partners,United States,North America,Healthcare & Life Sciences
Optimism,2,"Andreessen Horowitz, Paradigm",United States,North America,Healthcare & Life Sciences
Dexterity,2,"Kleiner Perkins, Lightspeed Venture Partners",United States,North America,Industrials
Hippocratic AI,2,Kleiner Perkins,United States,North America,Industrials
Zhubajie,2,"Chongqing New North Zone Government Investment Fund, Cybernaut Venture Capital",China,Asia,Consumer & Retail
Capitolis,2,"9Yards Capital, Canapi Ventures",United States,North America,Industrials
Wayflyer,2,"DST Global, QED Investors",Ireland,Europe,Industrials
"Extend, Inc.",2,SoftBank Vision Fund,United States,North America,Healthcare & Life Sciences
Unite Us,2,ICONIQ Capital,United States,North America,Consumer & Retail
Cresta,2,"Qatar Investment Authority, WiL (World Innovation Lab)",United States,North America,Financial Services
Afiniti,2,,Bermuda,North America,Healthcare & Life Sciences
ASAPP,2,"Dragoneer Investment Group, Fidelity",United States,North America,Consumer & Retail
Toss Bank,2,Welcome Capital,South Korea,Asia,Media & Entertainment
ezCater,2,SoftBank Vision Fund,United States,North America,Financial Services
Bianlifeng,2,"Hillhouse Investment, Tencent",China,Asia,Financial Services
Pathos,2,New Enterprise Associates,United States,North America,Industrials
MediTrust Health,2,HSBC China,China,Asia,Enterprise Tech
Aura,2,"Madrone Capital Partners, Ten Eleven Ventures",United States,North America,Financial Services
DataStax,2,GS Growth,United States,North America,Enterprise Tech
Monte Carlo,2,IVP,United States,North America,Financial Services
Magic Eden,2,"Electric Capital, Greylock",United States,North America,Media & Entertainment
Pave,2,Index Ventures,United States,North America,Financial Services
Molbio Diagnostics,2,Temasek Holdings,India,Asia,Industrials
Apollo.io,2,Bain Capital Ventures,United States,North America,Enterprise Tech
WEKA,2,Valor Equity Partners,United States,North America,Financial Services
Cart.com,2,Legacy Knight,United States,North America,Media & Entertainment
FloQast,2,ICONIQ Growth,United States,North America,Healthcare & Life Sciences
Chronosphere,2,CrowdStrike Falcon Fund,United States,North America,Healthcare & Life Sciences
AIWAYS,2,Fujian Dongbai (Group),China,Asia,Industrials
Ascend Elements,2,"Decarbonization Partners, Qatar Investment Authority",United States,North America,Industrials
GalaxySpace,2,CCB International,China,Asia,Enterprise Tech
Fresh Life Style Supply Chain Management,2,,China,Asia,Healthcare & Life Sciences
Nexii,2,"Horizon Technology Finance, Trinity Capital",Canada,North America,Enterprise Tech
Caocao Chuxing,2,Suzhou Xiangcheng Financial Holding Group,China,Asia,Industrials
SmartHR,2,"Kohlberg Kravis Roberts Japan, Teachers’ Venture Growth",Japan,Asia,Financial Services
NMI,2,Great Hill Partners,United States,North America,Enterprise Tech
Alloy,2,"Avenir, Lightspeed Venture Partners",United States,North America,Enterprise Tech
Kitopi,2,SoftBank Vision Fund,United Arab Emirates,Asia,Industrials
ESWIN Computing,2,"Beijing Financial Street Capital Operation Center, Guoxin Zhuoyue Venture Capital",China,Asia,Industrials
Wellong Etown,2,CCB International,China,Asia,Enterprise Tech
Matrixport,2,"C Ventures, DST Global",Singapore,Asia,Enterprise Tech
Wenheyou,2,IDG Capital,China,Asia,Enterprise Tech
Qinghai Lihao,2,,China,Asia,Media & Entertainment
StoreDot,2,"Ola Electric, Polestar",Israel,Asia,Insurance
Main Street Health,2,Oak HC/FT,United States,North America,Healthcare & Life Sciences
ElasticRun,2,"Goldman Sachs, SoftBank Vision Fund",India,Asia,Enterprise Tech
Andela,2,SoftBank Vision Fund,United States,North America,Financial Services
Airbyte,2,"Altimeter Capital, Coatue",United States,North America,Media & Entertainment
CoinList,2,"Accomplice, Agman Partners",United States,North America,Enterprise Tech
Veho,2,"SoftBank Vision Fund, Tiger Global Management",United States,North America,Enterprise Tech
Veriff,2,"Alkeon Capital, Tiger Global Management",Estonia,Europe,Consumer & Retail
Matillion,2,Databricks Ventures,United Kingdom,Europe,Enterprise Tech
