Organization Name,Post_Money_Valuation_(in B),Date Joined,Country,City,Industry,Select Investors
Pattern,2.3,10/6/21,United States,Lehi,Consumer & Retail,"Knox Lane, Ainge Advisory, Carlson Private Capital Partners"
Newfront Insurance,2.2,4/12/22,United States,San Francisco,Insurance,"Founders Fund, Meritech Capital Partners, GS Growth"
Skydio,2.2,2/25/21,United States,Redwood City,Industrials,"Andreessen Horowitz, Andreessen Horowitz, Institutional Venture Partners, Accel"
Current,2.2,4/27/21,United States,New York,Financial Services,"Expa, QED Investors, Foundation Capital"
Gympass,2.4,6/12/19,United States,New York,Healthcare & Life Sciences,"General Atlantic, SoftBank Group, Atomico"
Dialpad,2.2,10/6/20,United States,San Francisco,Enterprise Tech,"Andreessen Horowitz, Google Ventures, Section 32"
BloomReach,2.2,2/23/22,United States,Mountain View,Consumer & Retail,"Bain Capital Ventures, Sixth Street Growth, Lightspeed Venture Partners"
Motif FoodWorks,2.2,6/16/21,United States,Boston,Industrials,"General Atlantic, Breakthrough Energy Ventures, Viking Global Investors"
Addepar,2.2,6/15/21,United States,Mountain View,Financial Services,"8VC, D1 Capital Partners, Sway Ventures"
Qualia,2.2,12/21/20,United States,San Francisco,Financial Services,"8VC, Menlo Ventures, Tiger Global Management"
Neo4j,2,6/17/21,United States,San Mateo,Enterprise Tech,"Eight Roads Ventures, One Peak Partners, Creandum"
Xaira Therapeutics,2.2,4/23/24,United States,San Francisco,Healthcare & Life Sciences,"ARCH Venture Partners, Foresite Capital, Two Sigma Ventures"
Eightfold,2.1,10/27/20,United States,Santa Clara,Enterprise Tech,"Foundation Capital, Institutional Venture Partners, General Catalyst"
Moveworks,2.1,6/30/21,United States,Mountain View,Enterprise Tech,"Lightspeed Venture Partners, Sapphire Ventures, Kleiner Perkins Caufield & Byers"
Medable,2.1,10/26/21,United States,Palo Alto,Healthcare & Life Sciences,"GSR Ventures, Sapphire Ventures, Streamlined Ventures"
Aledade,3.5,1/19/21,United States,Bethesda,Healthcare & Life Sciences,"Venrock, CVF Capital Partners, ARCH Venture Partners"
A24 Films,3.5,3/9/22,United States,New York,Media & Entertainment,"Stripes Group, Neuberger Berman"
Jeeves,2.1,3/14/22,United States,Orlando,Enterprise Tech,"Tencent Holdings, CRV, Clocktower Technology Ventures"
Melio,2,1/25/21,United States,New York,Financial Services,"Accel, Aleph, American Express Ventures"
Firefly Aerospace,2,5/4/24,United States,Cedar Park,Industrials,"Noosphere Ventures, RPM Ventures, SMS Capital Investment"
Cognition AI,2,4/24/24,United States,San Francisco,Enterprise Tech,"Founders Fund, Khosla Ventures"
GrubMarket,2,9/14/21,United States,San Francisco,Consumer & Retail,"GGV Capital, BlackRock, ACE & Company"
Clear Street,2,4/29/22,United States,New York,Financial Services,"NextGen Venture Partners, Prysm Capital, McLaren Strategic Ventures"
Drata,2,11/8/21,United States,San Diego,Enterprise Tech,"Cowboy Ventures, Leaders Fund, GGV Capital"
Mysten Labs,2,9/8/22,United States,San Francisco,Enterprise Tech,"Andreessen Horowitz, Coinbase Ventures, Circle Ventures"
Liquid AI,2,12/13/24,United States,Cambridge,Enterprise Tech,"OSS Capital, Duke Capital Partners, Samsung NEXT"
Avant,2,12/17/12,United States,Chicago,Financial Services,"RRE Ventures, Tiger Global, August Capital"
Formlabs,2,8/1/18,United States,Somerville,Industrials,"Pitango Venture Capital, DFJ Growth Fund, Foundry Group"
Calm,2,2/6/19,United States,San Francisco,Healthcare & Life Sciences,"Insight Venture Partners, TPG Growth, Sound Ventures"
Kaseya,2,3/27/19,United States,Miami,Enterprise Tech,"Insight Partners, TPG Alternative & Renewable Technologies, Ireland Strategic Investment Fund"
Druva,2,6/20/19,United States,Sunnyvale,Enterprise Tech,"Nexus Venture Partners, Tenaya Capital, Sequoia Capital"
AppsFlyer,2,1/21/20,United States,San Francisco,Enterprise Tech,"Magma Venture Partners, Pitango Venture Capital, Qumra Capital"
Redis,2,8/25/20,United States,Mountain View,Enterprise Tech,"Viola Ventures, Dell Technologies Capital, Bain Capital Ventures"
Unqork,2,10/6/20,United States,New York,Insurance,"Blackrock, capitalG, World Lab Innovation"
Virta Health,2,12/2/20,United States,San Francisco,Healthcare & Life Sciences,"Caffeinated Capital, Obvious Ventures, Venrock"
ISN,2,12/17/20,United States,Dallas,Industrials,Blackstone
Hive,2,4/21/21,United States,San Francisco,Enterprise Tech,"Tomales Bay Capital, Bain & Company, General Catalyst"
Kajabi,2,5/4/21,United States,Irvine,Media & Entertainment,"Meritech Capital Partners, Tiger Global Management, Spectrum Equity"
Ethos,2.7,5/11/21,United States,San Francisco,Insurance,"Sequoia Capital, Google Ventures, Accel"
Pipe,2,5/19/21,United States,Miami,Financial Services,"next47, MaC Venture Capital, FinVC"
Iterable,2,6/15/21,United States,San Francisco,Enterprise Tech,"CRV, Blue Cloud Ventures, Index Ventures"
MURAL,2,7/20/21,United States,San Francisco,Enterprise Tech,"Insight Partners, Tiger Global Management, Gradient Ventures"
Divvy Homes,2,8/13/21,United States,San Francisco,Financial Services,"Andreessen Horowitz, Caffeinated Capital, SciFi VC"
Apeel Sciences,2,5/26/20,United States,Goleta,Consumer & Retail,"Upfront Ventures, Tao Capital Partners, Andreessen Horowitz"
Aviatrix,2,9/8/21,United States,Santa Clara,Enterprise Tech,"Ignition Partners, Formation 8, CRV"
Misfits Market,2,4/21/21,United States,Pennsauken,Consumer & Retail,"Accel, D1 Capita Partners, Greenoaks Capital Management"
Modern Treasury,2,10/6/21,United States,San Francisco,Financial Services,"Benchmark, Altimeter Capital, Quiet Capital"
Magic Leap,2,10/21/14,United States,Plantation,Enterprise Tech,"Obvious Ventures, Qualcomm Ventures, Andreessen Horowitz"
ClickHouse,2,10/28/21,United States,Portola Valley,Enterprise Tech,"Lightspeed Venture Partners, Almaz Capital Partners, Altimeter Capital"
Everlaw,2,3/10/20,United States,Oakland,Enterprise Tech,"K9 Ventures, Menlo Ventures, Andreessen Horowitz"
VerbIT,2,6/8/21,United States,New York,Enterprise Tech,"ClalTech, Vertex Ventures, Oryzn Capital"
Netlify,2,11/17/21,United States,San Francisco,Enterprise Tech,"Andreessen Horowitz, Kleiner Perkins Caufield & Byers, EQT Ventures"
LTK,2,11/22/21,United States,Dallas,Media & Entertainment,"SoftBank Group, Maverick Capital"
Dremio,2,1/6/21,United States,Santa Clara,Enterprise Tech,"Lightspeed Venture Partners, Redpoint Ventures, Norwest Venture Partners"
Cloudinary,2,2/15/22,United States,Santa Clara,Media & Entertainment,"Blackstone, Bessemer Venture Partners"
Salsify,2,4/13/22,United States,Boston,Consumer & Retail,"Matrix Partners, North Bridge Venture Partners, Venrock"
CertiK,2,3/31/22,United States,New York,Enterprise Tech,"Tiger Global Management, Lightspeed Venture Partners, Hillhouse Capital Management"
Devo Technology,2,10/26/21,United States,Cambridge,Enterprise Tech,"Insight Partners, Kibo Ventures, Bessemer Venture Partners"
ShiftKey,2,1/11/23,United States,Dallas,Healthcare & Life Sciences,Health Velocity Capital
21.co,2,9/6/22,United States,New York,Financial Services,"Quiet Ventures, ETFS Capital, Collab+Currency"
Solugen,2,9/10/21,United States,Houston,Industrials,"Fifty Years Fund, Refactor Capital, Temasek"
InVision,1.9,11/1/17,United States,New York,Enterprise Tech,"FirstMark Capital, Tiger Global Management, ICONIQ Capital"
Writer,1.9,11/12/24,United States,San Francisco,Enterprise Tech,"Aspect Ventures, Upfront Ventures, Balderton Capital"
NinjaOne,1.9,2/6/24,United States,Austin,Enterprise Tech,
MX,1.9,1/13/21,United States,Lehi,Financial Services,"Point72 Ventures, Pelion Venture Partners, Commerce Ventures"
Acorns,1.9,3/9/22,United States,Irvine,Financial Services,"e.ventures, Bain Capital Ventures, Greycroft"
Fever,2,1/26/22,United States,New York,Media & Entertainment,"Accel, 14W, GS Growth"
Roofstock,1.9,3/10/22,United States,Oakland,Financial Services,"Khosla Ventures, Bain Capital Ventures, Lightspeed Venture Partners"
thatgamecompany,1.9,3/3/22,United States,Los Angeles,Media & Entertainment,"Benchmark, Sequoia Capital, TPG Capital"
ConcertAI,1.9,3/29/22,United States,Boston,Healthcare & Life Sciences,"Sixth Street Partners, Declaration Partners, Maverick Ventures Israel"
Material Bank,1.9,5/6/22,United States,Boca Raton,Industrials,"Bain Capital Ventures, SoftBank Group, Fifth Wall Ventures"
CFGI,1.9,9/15/21,United States,Boston,Financial Services,"The Carlyle Group, CVC Capital Partners"
ZocDoc,1.8,8/20/15,United States,New York,Healthcare & Life Sciences,"Founders Fund, Khosla Ventures, Goldman Sachs"
ID.me,1.8,3/19/21,United States,McLean,Consumer & Retail,"Moonshots Capital, BoxGroup, Blu Venture Investors"
Diamond Foundry,1.8,3/29/21,United States,San Francisco,Industrials,"Fashion Tech Lab, Fidelity Investments, Vast Ventures"
FullStory,1.8,8/4/21,United States,Atlanta,Enterprise Tech,"Google Ventures, Kleiner Perkins Caufield & Byers, Stripes Group"
Opentrons,1.8,9/23/21,United States,New York,Healthcare & Life Sciences,"SOSV, Khosla Ventures, Lerer Hippeau"
Kindbody,1.8,3/2/23,United States,Kindbody,Healthcare & Life Sciences,"RRE Ventures, Google Ventures, Bramalea Partners"
Cambrian BioPharma,1.8,10/26/21,United States,Brooklyn,Healthcare & Life Sciences,"Future Ventures, Apeiron Investment Group, Moore Capital Management"
BitGo,1.8,8/16/23,United States,Palo Alto,Financial Services,"Redpoint Ventures, Craft Ventures, Bridgescale Partners"
Orca Security,1.8,3/23/21,United States,Portland,Enterprise Tech,"YL Ventures, Redpoint Ventures, GGV Capital"
DailyPay,1.7,5/18/21,United States,New York,Financial Services,"RPM Ventures, Inspiration Ventures, Carrick Capital Partners"
Harry's,1.7,2/16/18,United States,New York,Consumer & Retail,"Thrive Capital, Tiger Global Management, Temasek"
PAX,1.7,10/22/18,United States,San Francisco,Consumer & Retail,"Tao Capital Partners, Global Asset Capital, Tiger Global Management"
DispatchHealth,1.7,3/3/21,United States,Denver,Healthcare & Life Sciences,"Alta Partners, Questa Capital, Echo Health Ventures"
Pax8,1.7,4/11/22,United States,Greenwood Village,Enterprise Tech,"Liberty Global Ventures, Sageview Capital, Blue Cloud Ventures"
Front,1.7,6/28/22,United States,San Francisco,Enterprise Tech,"Sequoia Capital, Uncork Capital, Salesforce Ventures"
Redesign Health,1.7,9/13/22,United States,New York,Healthcare & Life Sciences,"General Catalyst, Samsung NEXT, CVS Health Partners"
Tessera Therapeutics,1.7,4/19/22,United States,Cambridge,Healthcare & Life Sciences,"Altitude Life Science Ventures, SoftBank Group, Alaska Permanent Fund"
Ascend Elements,1.7,9/6/23,United States,Westborough,Industrials,"At One Ventures, Hitachi Ventures, Trumpf Venture"
Uniswap,1.7,10/13/22,United States,New York,Financial Services,"A16z Crypto, Variant Fund, Paradigm"
Unite Us,1.6,3/16/21,United States,New York,Healthcare & Life Sciences,"Insight Partners, Sequoia Capital, Index Ventures"
CircleCI,1.7,5/11/21,United States,San Francisco,Enterprise Tech,"Threshold Ventures, Baseline Ventures, Harrison Metal"
Dragos,1.7,10/28/21,United States,Hanover,Industrials,"DataTribe, Energy Impact Partners, AllegisCyber Capital"
Reltio,1.7,11/4/21,United States,Redwood City,Enterprise Tech,"Crosslink Capital, .406 Ventures, Sapphire Ventures"
H2O.ai,1.7,11/7/21,United States,Mountain View,Enterprise Tech,"Nexus Venture Partners, Transamerica Ventures, Crane Venture Partners"
ZenBusiness,1.7,11/9/21,United States,Austin,Enterprise Tech,"Greycroft, Lerer Hippeau, Geekdom Fund"
Productboard,1.7,2/2/22,United States,San Francisco,Enterprise Tech,"Index Ventures, Kleiner Perkins Caufield & Byers, Bessemer Venture Partners"
Spotter,1.7,2/16/22,United States,Los Angeles,Financial Services,"SoftBank Group, Access Industries, Crossbeam Venture Partners"
Optimism,1.7,3/17/22,United States,San Francisco,Enterprise Tech,"Paradigm, Huobi Ventures, Andreessen Horowitz"
Incredible Health,1.7,8/17/22,United States,San Francisco,Healthcare & Life Sciences,"Obvious Ventures, Andreessen Horowitz, NFX"
FloQast,1.6,7/21/21,United States,Los Angeles,Financial Services,"Polaris Partners, Insight Partners, Norwest Venture Partners"
Weka,1.6,5/15/24,United States,Campbell,Enterprise Tech,"Qualcomm Ventures, Hitachi Ventures, MoreTech Ventures"
Apollo,1.6,8/29/23,United States,Covina,Enterprise Tech,"Nexus Venture Partners, Sequoia Capital, Bain Capital Ventures"
DataStax,1.6,5/26/21,United States,Santa Clara,Enterprise Tech,"Crosslink Capital, Meritech Capital Partners, Lightspeed Venture Partners"
Infinidat,1.6,4/29/15,United States,Waltham,Enterprise Tech,"TPG Growth, Goldman Sachs"
Clari,2.6,3/3/21,United States,Sunnyvale,Enterprise Tech,"Sequoia Capital, Bain Capital Ventures, enaya Capital"
Monte Carlo,1.6,5/24/22,United States,San Francisco,Enterprise Tech,"GGV Capital, Accel, Redpoint Ventures"
Cresta,1.6,3/17/22,United States,San Francisco,Enterprise Tech,"Andreessen Horowitz, Greylock Partners, Sequoia Capital"
Extend,1.4,5/18/21,United States,San Francisco,Insurance,"GreatPoint Ventures, Meritech Capital Partners, PayPal Ventures"
Generate Biomedicines,1.4,11/18/21,United States,Cambridge,Healthcare & Life Sciences,"Altitude Life Science Ventures. T. Rowe Price, Morningside Venture Partners"
Lambda Labs,1.5,10/5/23,United States,San Francisco,Enterprise Tech,"1517 Fund, Gradient Ventures, Bloomberg Beta"
Altruist,1.5,4/16/24,United States,Culver City,Financial Services,"Venrock, Endeavor, Adams Street Partners"
ASAPP,1.6,5/19/21,United States,New York,Enterprise Tech,"March Capital Partners, HOF Capital, Emergence Capital Partners"
Mercury,1.6,7/3/21,United States,San Francisco,Financial Services,"Andreessen Horowitz, Coatue Management, Clocktower Technology Ventures"
HomeLight,1.7,9/2/21,United States,San Francisco,Financial Services,"Zeev Ventures, Menlo Ventures,Crosslink Capital"
ezCater,1.6,4/2/19,United States,Boston,Consumer & Retail,"Insight Venture Partners, ICONIQ Capital, Launchpad Venture Group"
Capitolis,1.6,3/22/22,United States,New York,Financial Services,"Sequoia Capital, Index Ventures, S Capital"
Magic Eden,1.6,6/21/22,United States,San Francisco,Media & Entertainment,"Sequoia Capital, Lightspeed Venture Partners, Paradigm"
Pave,1.6,6/28/22,United States,San Francisco,Enterprise Tech,"Y Combinator, Andreessen Horowitz, Bessemer Venture Partners"
Astranis,1.6,4/14/21,United States,San Francisco,Industrials,"Refactor Capital, Andreessen Horowitz, Fifty Years Fund"
Icon,1.6,2/18/22,United States,Austin,Industrials,"Moderne Ventures, Oakhouse Partners, Bjarke Ingels Group"
Alloy,1.6,9/30/21,United States,New York,Financial Services,"Bessemer Venture Partners, Eniac Ventures, Canapi Ventures"
Huntress,1.6,6/18/24,United States,Ellicott City,Enterprise Tech,"ForgePoint Capital, Sapphire Ventures, Gula Tech Adventures"
Runway,1.5,5/4/23,United States,New York,Media & Entertainment,"Lux Capital, Compound, Amplify Partners"
Skild AI,1.5,7/9/24,United States,Pittsburgh,Industrials,"CRV, General Catalyst, Menlo Ventures"
Sigma Computing,1.5,5/16/24,United States,San Francisco,Enterprise Tech,"Sutter Hill Ventures, Snowflake Ventures, NewView Capital"
Harvey,1.5,7/23/24,United States,San Francisco,Enterprise Tech,"OpenAI Startup Fund, Kleiner Perkins, Sequoia Capital"
OpenWeb,1.5,11/9/21,United States,New York,Media & Entertainment,"Insight Partners, AltaIR Capital, Norma Investments"
First Mode,1.5,12/7/22,United States,Seattle,Industrials,Anglo American
Mu Sigma,1.5,2/7/13,United States,Northbrook,Enterprise Tech,"Sequoia Capital, General Atlantic"
Jasper,1.5,10/17/22,United States,Austin,Enterprise Tech,"Foundation Capital, Institutional Venture Partners, Founders Capital"
Orna Therapeutics,1.5,8/16/22,United States,Cambridge,Healthcare & Life Sciences,"MPM Capital, Astellas Venture Management, F2 Ventures"
Cambridge Mobile Telematics,1.5,12/19/18,United States,Cambridge,Insurance,SoftBank Group
Collective Health,1.5,6/17/19,United States,San Francisco,Healthcare & Life Sciences,"New Enterprise Associates, Founders Fund, Google Ventures"
Strava,1.5,11/16/20,United States,San Francisco,Healthcare & Life Sciences,"Jackson Square Ventures, Madrone Capital Partners, Sequoia Capital"
Zenoti,1.5,12/15/20,United States,Bellevue,Consumer & Retail,"Norwest Venture Partners, Accel, Tiger Global Management"
K Health,1.5,1/19/21,United States,New York,Healthcare & Life Sciences,"Max Ventures, Mangrove Capital Partners, 14W"
Uplight,1.5,3/3/21,United States,Boulder,Industrials,"Rubicon Technology Partners, Max Ventures, Inclusive Capital Partners"
Snapdocs,1.5,5/25/21,United States,San Francisco,Financial Services,"Sequoia Capital, Y Combinator, F-Prime Capital"
Chipper Cash,2,5/31/21,United States,San Francisco,Financial Services,"Deciens Capital, Bezos Expeditions, 500 Startups"
impact.com,1.5,7/13/21,United States,Santa Barbara,Enterprise Tech,"Redpoint Ventures, Providence Equity Partners, Silversmith Capital Partners"
SmartRecruiters,1.5,7/20/21,United States,San Francisco,Enterprise Tech,"Mayfield Fund, Insight Partners, Rembrandt Venture Partners"
TaxBit,1.5,8/4/21,United States,Draper,Financial Services,"Insight Partners, Coinbase Ventures, PayPal Ventures"
Pacaso,1.5,3/24/21,United States,Cincinnati,Financial Services,"Global Founders Capital, Shea Ventures, Greycroft"
1047 Games,1.5,9/14/21,United States,Zephyr Cove,Media & Entertainment,"VGames, Lakestar, Galaxy Interactive"
Persona,1.5,9/15/21,United States,San Francisco,Enterprise Tech,"Coatue Management, Index Ventures, Founders Fund"
Andela,1.5,9/29/21,United States,New York,Enterprise Tech,"Spark Capital, Google Ventures, CRE Venture Capital"
Built,1.5,9/30/21,United States,Nashville,Financial Services,"Nyca Partners, Index Ventures, Technology Crossover Ventures"
CoinList,1.5,10/15/21,United States,San Francisco,Financial Services,"Accomplice, Polychain Capital, GoldenTree Asset Management"
Lusha,1.5,11/10/21,United States,New York,Enterprise Tech,"PSG, ION Crossover Partners"
Paradox,1.5,12/27/21,United States,Scottsdale,Enterprise Tech,"Brighton Park Capital, Blue Cloud Ventures, Workday Ventures"
Airbyte,1.5,12/17/21,United States,San Francisco,Enterprise Tech,"Accel, Benchmark, SV Angel"
Veho,1.5,12/21/21,United States,Boulder,Consumer & Retail,"General Catalyst, Origin Ventures, Fontinalis Partners"
Temporal,1.5,2/16/22,United States,Bellevue,Enterprise Tech,"Amplify Partners, Addition, Madrona Venture Group"
Fabric,1.5,2/24/22,United States,Bellevue,Consumer & Retail,"Redpoint Ventures, Norwest Venture Partners, Sierra Ventures"
Zeta,1.5,5/24/21,United States,San Francisco,Financial Services,"Sodexo Ventures, SoftBank Group"
Boba,1.5,4/5/22,United States,San Francisco,Enterprise Tech,"DeFi Technologies, Hypersphere Ventures, M13"
Upside,1.5,4/26/22,United States,DC,Consumer & Retail,"Bessemer Venture Partners, Builders VC, General Catalyst"
Mashgin,1.5,5/9/22,United States,Palo Alto,Consumer & Retail,"New Enterprise Associates, Matrix Partmers, Susa Ventures"
Prometheus,1.5,9/23/21,United States,Santa Cruz,Industrials,"BMW i Ventures, Metaplanet, Maersk Growth"
Arcadia,1.5,5/10/22,United States,DC,Enterprise Tech,"BoxGroup, Energy Impact Partners, Camber Creek"
VTS,1.5,5/7/19,United States,New York,Financial Services,"Trinity Ventures, Fifth Wall Ventures, OpenView Venture Partners"
Placer.ai,1.5,1/12/22,United States,Los Altos,Consumer & Retail,"Fifth Wall Ventures, JBV Capital, Array Ventures"
M1,1.5,7/14/21,United States,Chicago,Financial Services,"Left Lane Capital, Clocktower Technology Ventures, Jump Capital"
Aleo,1.5,2/7/22,United States,San Francisco,Enterprise Tech,"Slow Ventures, Andreessen Horowitz, SoftBank Group"
Justworks,1.4,1/28/20,United States,New York,Enterprise Tech,"Index Ventures, Thrive Capital, Bain Capital Ventures"
SonderMind,1.4,7/28/21,United States,Denver,Healthcare & Life Sciences,"Kickstart Fund, General Catalyst, Drive Capital"
EON,1.4,11/26/24,United States,New York,Enterprise Tech,"Lightspeed Venture Partners, Sequoia Capital, Bond"
Route,1.4,1/21/22,United States,Lehi,Enterprise Tech,"Album VC, Madrona Venture Group, Craft Ventures"
Liquid Death,1.4,3/11/24,United States,Santa Monica,Consumer & Retail,"Science Media, Live Nation Labs, Velvet Sea Ventures"
Papa,1.4,11/4/21,United States,Miami,Healthcare & Life Sciences,"Initialized Capital, Canaan Partners, Sound Ventures"
Envoy,1.4,1/11/22,United States,San Francisco,Enterprise Tech,"Andreessen Horowitz, Initialized Capital, TriplePoint Capital"
SparkCognition,1.4,1/25/22,United States,Austin,Enterprise Tech,"March Capital Partners, Temasek, Doha Venture Capital"
Symphony,1.4,5/16/17,United States,New York,Financial Services,"BNP Paribas, Goldman Sachs, Google"
Away,1.4,5/15/19,United States,New York,Consumer & Retail,"Global Founders Capital, Comcast Ventures, Forerunner Ventures"
Kong,2,12/31/20,United States,San Francisco,Enterprise Tech,"New Enterprise Associates, CRV, Index Ventures"
Yotpo,1.4,3/18/21,United States,New York,Consumer & Retail,"Bessemer Venture Partners, Vintage Investment Partners, Blumberg Capital"
Coda,1.4,7/8/21,United States,Mountain View,Enterprise Tech,"Greylock Partners, General Catalyst, Khosla Ventures"
Stash,1.4,2/3/21,United States,New York,Financial Services,"Goodwater Capital, Entree Capital, Valar Ventures"
Rad Power Bikes,1.4,10/28/21,United States,Seattle,Industrials,"Durable Capital Partners, Cercano Management, T. Rowe Price"
Clarify Health,1.4,4/5/22,United States,San Francisco,Healthcare & Life Sciences,"KKR, Aspenwood Ventures, Spark Capital"
Phenom People,1.4,4/7/21,United States,Ambler,Enterprise Tech,"Sierra Ventures, AXA Venture Partners, Sigma Prime Ventures"
GupShup,1.4,4/8/21,United States,San Francisco,Enterprise Tech,"Helion Venture Partners, Tiger Global management, CRV"
Degreed,1.4,4/13/21,United States,Pleasanton,Enterprise Tech,"Signal Peak Ventures, Owl Ventures, Jump Capital"
VideoAmp,1.4,10/21/21,United States,Los Angeles,Enterprise Tech,"Simon Equity Partners, Wavemaker Partners, Anthem Venture Partners"
Panther Labs,1.4,12/2/21,United States,San Francisco,Enterprise Tech,"Innovation Endeavors, s28 Capital, Lightspeed Venture Partners"
Salt Security,1.4,2/10/22,United States,Palo Alto,Enterprise Tech,"Y Combinator, S Capital, Tenaya Capital"
Nimble Rx,1.4,6/14/22,United States,Redwood City,Healthcare & Life Sciences,"Sequoia Capital, Four Rivers Group, DAG Ventures"
Movable Ink,1.4,4/28/22,United States,New York,Enterprise Tech,"Contour Venture Partners, Intel Capital, Silver Lake"
Patreon,1.4,9/2/20,United States,San Francisco,Media & Entertainment,"Index Ventures, Thrive Capital, CRV"
Epirus,1.4,2/14/22,United States,Hawthorne,Industrials,"8VC, Bedrock Capital, Broom Ventures"
Signifyd,1.3,4/15/21,United States,San Jose,Consumer & Retail,"Menlo Ventures, Resolute Ventures, IA Ventures"
Human Interest,1.3,8/4/21,United States,San Francisco,Financial Services,"Wing Venture Capital, Slow Ventures, Uncork Capital"
Lyten,1.3,9/12/23,United States,San Jose,Industrials,"Honeywell Ventures, Prime Movers Lab, Footprint Coalition Ventures"
Flipboard,1.3,7/22/15,United States,Palo Alto,Media & Entertainment,"Kleiner Perkins Caufield & Byers, Comcast Ventures, Insight Partners"
Athletic Greens,1.3,1/25/22,United States,New York,Healthcare & Life Sciences,"SC.Holdings, Not Boring Capital, Bolt Ventures"
Alzheon,1.3,9/30/20,United States,Framingham,Healthcare & Life Sciences,"ARCH Venture Partners, Ally Bridge Group"
MasterControl,1.3,12/15/22,United States,Salt Lake City,Healthcare & Life Sciences,InnoVentures Capital Partners
24M Technology,1.3,9/5/24,United States,Cambridge,Industrials,"North Bridge Venture Partners, CRV, Shumway Capital"
Zum,1.3,1/31/24,United States,Redwood City,Industrials,"Sequoia Capital, BMW i Ventures, Spark Capital"
HeartFlow,1.3,12/4/17,United States,Redwood City,Healthcare & Life Sciences,"BlueCross BlueShield Venture Partners, US Venture Partners"
Everly Health,1.3,12/3/20,United States,Austin,Healthcare & Life Sciences,"Highland Capital Partners, Next Coast Ventures, SoGal Ventures"
DistroKid,1.3,8/16/21,United States,New York,Media & Entertainment,"Insight Partners, Silversmith Capital Partners, Spotify"
Betterment,1.3,9/29/21,United States,New York,Financial Services,"Bessemer Venture Partners, Menlo Ventures, Anthermis"
Flock Freight,1.3,10/20/21,United States,Encinitas,Industrials,"SignalFire, GLP Capital Partners, Google Ventures"
YugaByte,1.3,10/28/21,United States,Sunnyvale,Enterprise Tech,"Lightspeed Venture Partners, Dell Technologies Capital, Wipro Ventures"
Lukka,1.3,1/14/22,United States,New York,Financial Services,"Liberty City Ventures, Soros Fund Management, Summer Capital"
iTrustCapital,1.3,1/11/22,United States,Long Beach,Financial Services,"Left Lane Capital, Walden Venture Capital"
Domestika,1.3,1/27/22,United States,Berkeley,Media & Entertainment,"Zeev Ventures, GSV Ventures"
CoinTracker,1.3,1/27/22,United States,San Francisco,Financial Services,"Initialized Capital, General Catalyst, Kraken Ventures"
Loadsmart,1.3,2/1/22,United States,New York,Industrials,"Chromo Invest, Maersk Growth, BlackRock"
Clipboard Health,1.3,2/1/22,United States,San Francisco,Healthcare & Life Sciences,"Caffeinated Capital, Initialized Capital, Y Combinator"
Biofourmis,1.3,4/26/22,United States,Boston,Healthcare & Life Sciences,"General Atlantic, CVS Health, MassMutual Ventures"
STORD,1.3,9/13/21,United States,Atlanta,Industrials,"Dynamo VC, Susa Ventures, Founders Fund"
Keyfactor,1.3,10/24/23,United States,Independence,Enterprise Tech,"GM Ventures, Plymouth Growth Partners, Insight Partners"
Equashield,1.3,10/6/22,United States,Port Washington,Healthcare & Life Sciences,Nordic Capital
Intercom,1.3,3/27/18,United States,San Francisco,Enterprise Tech,"FirstMark Capital, Tiger Global Management"
Codeium,1.3,8/29/24,United States,Sacramento,Enterprise Tech,"General Catalyst, Kleiner Perkins, Founders Fund"
BigID,1.3,12/16/20,United States,New York,Enterprise Tech,"BOLDstart Ventures, SAP.iO Fund, Scale Venture Partners"
Polyhedra Network,1.3,3/14/24,United States,San Francisco,Enterprise Tech,"MH Ventures, Symbolic Capital, UOB Venture Management"
Honor Technology,1.3,10/5/21,United States,San Francisco,Healthcare & Life Sciences,"Andreessen Horowitz, Prosus Ventures, Thrive Capital"
Together AI,1.3,3/13/24,United States,San Francisco,Enterprise Tech,"Definition Capital, Long Journey Ventures, Lux Capital"
Mythical Games,1,11/4/21,United States,Sherman Oaks,Media & Entertainment,"Javelin Venture Partners, Struck Capital, Alumni Ventures Group"
Incode Technologies,1.3,12/7/21,United States,San Francisco,Enterprise Tech,"Dila Capital, Framework Ventures, 3L"
Tackle.io,1.3,12/21/21,United States,Boise,Enterprise Tech,"Andreessen Horowitz, Bessemer Venture Partners, Coatue Management"
CaptivateIQ,1.3,1/26/22,United States,San Francisco,Enterprise Tech,"Sequoia Capital, Y Combinator, Accel"
Talos,1.3,5/10/22,United States,New York,Financial Services,"Castle Island Ventures, PayPal Ventures, Andreessen Horowitz"
airSlate,1.3,6/16/22,United States,Brookline,Enterprise Tech,"G Squared, UiPath Ventures, General Catalyst"
ClassDojo,1.3,7/21/22,United States,San Francisco,Consumer & Retail,"General Catalyst, Unkork Capital, Tencent Holdings"
SeatGeek,1.2,8/31/22,United States,New York,Media & Entertainment,"Accel, Founder Collective, Brainchild Holdings"
InDrive,1.2,2/1/21,United States,Mountain View,Industrials,"Leta Capital, Insight Partners, General Catalyst"
Kallyope,1.2,2/15/22,United States,New York,Healthcare & Life Sciences,"The Column Group, Alexandria Venture Investments, Lux Capital"
Zip,2.2,5/25/22,United States,San Francisco,Enterprise Tech,"CRV, Tiger Global Management, Y Combinator"
